# ESQUISSE — aspiration du 3 septembre 2026 (révisée le 09/09/2026 après les réponses de la source du 07/09) — 28 descripteurs sur 623 fiches (621 aspirées, 2 injoignables le jour même) — deux vocabulaires : liste commune (sujets) et géo-histo (geo + dates) — URI canonique ?motNN, la forme /id/motNN est retirée — non officiel
id;notation;uri_canonique;page;vocabulaire;facette;profondeur;parent;regle_du_parent;libelle_hierarchique_fr;label_fr;label_en;label_es;label_it;label_pt;label_de;label_nl;label_ca;label_el;label_eo;el_latn;hors_liste_cira;liens_catalogues;remarque
mot515;515;https://thesaurus.ficedl.info/?mot515;https://thesaurus.ficedl.info/spip.php?mot515;géo-histo;dates;;;aucune_hierarchie (dates);1880;1880;;;;;;;;;;;;1;Facette « dates » : aucun bloc de traduction (par construction, une année n'en a pas besoin). Libellé relevé dans le titre de la page, lien Placard relevé.
mot516;516;https://thesaurus.ficedl.info/?mot516;https://thesaurus.ficedl.info/spip.php?mot516;géo-histo;dates;;;aucune_hierarchie (dates);1881;1881;;;;;;;;;;;;1;Facette « dates » : aucun bloc de traduction (par construction). Libellé relevé dans le titre de la page, lien Placard relevé.
mot8;8;https://thesaurus.ficedl.info/?mot8;https://thesaurus.ficedl.info/spip.php?mot8;liste commune;sujets;1;;racine;anarchisme;anarchisme;anarchism;anarquismo;anarchismo;anarquismo;Anarchismus;anarchisme;anarquisme;αναρχισμός;anarkiismo;anarchismós;;8;
mot17;17;https://thesaurus.ficedl.info/?mot17;https://thesaurus.ficedl.info/spip.php?mot17;liste commune;sujets;1;;racine;art (généralités);art (généralités);art (in general);arte (general);arte;artes;Künste (geschichtlich);kunst (algemeen);art (general);τέχνη (γενικά);arto (ĝenerale);téchni̱ (geniká);;8;
mot22;22;https://thesaurus.ficedl.info/?mot22;https://thesaurus.ficedl.info/spip.php?mot22;liste commune;sujets;2;mot17;generalites_confirme_source;art : chanson;art : chanson;art: song;arte: canción;arte: canzone;arte: canções;Kunst : Song/Lied;kunst: zangkunst en liederen;art: cançó;τέχνη : τραγούδι;arto: kanto;téchni̱ : tragoúdi;;8;
mot23;23;https://thesaurus.ficedl.info/?mot23;https://thesaurus.ficedl.info/spip.php?mot23;liste commune;sujets;2;mot17;generalites_confirme_source;art : cinéma;art : cinéma;art: cinema;arte: cine;arte: cinema;arte: cinema;Kunst: cinema;kunst: film;art: cinema;τέχνη : κινηματογράφος;arto: kino;téchni̱ : kini̱matográfos;;8;
mot25;25;https://thesaurus.ficedl.info/?mot25;https://thesaurus.ficedl.info/spip.php?mot25;liste commune;sujets;2;mot17;generalites_confirme_source;art : dessin;art : dessin;art: drawings;arte: dibujo;arte: disegno;arte: desenho;Kunst: Zeichnung;kunst: tekening;arte: dibuix;τέχνη : σχέδιο;arto: desegno;téchni̱ : schédio;;8;
mot26;26;https://thesaurus.ficedl.info/?mot26;https://thesaurus.ficedl.info/spip.php?mot26;liste commune;sujets;2;mot17;generalites_confirme_source;art : gravure;art : gravure;art: engraving;arte: grabado;arte: incisione;arte: gravura;Kunst: Gravieren;kunst: gravure;art: escriptura;τέχνη : χαρακτική;arto: gravuraĵo;téchni̱ : charaktikí̱;;8;
mot27;27;https://thesaurus.ficedl.info/?mot27;https://thesaurus.ficedl.info/spip.php?mot27;liste commune;sujets;2;mot17;generalites_confirme_source;art : musique;art : musique;art: music;arte: música;arte: musica;arte: música;Kunst: Musik;kunst: muziek;art: música;τέχνη : μουσική;arto: muziko;téchni̱ : mousikí̱;;8;
mot28;28;https://thesaurus.ficedl.info/?mot28;https://thesaurus.ficedl.info/spip.php?mot28;liste commune;sujets;2;mot17;generalites_confirme_source;art : peinture;art : peinture;art: painting;arte: pintura;arte: pittura;arte: pintura;Kunst: Malerei;kunst: schilderkunst;art: pintura;τέχνη : ζωγραφική;arto: pentrarto;téchni̱ : zo̱grafikí̱;;8;
mot29;29;https://thesaurus.ficedl.info/?mot29;https://thesaurus.ficedl.info/spip.php?mot29;liste commune;sujets;2;mot17;generalites_confirme_source;art : photographie;art : photographie;art: photography;arte: fotografía;arte: fotografia;arte: fotografia;Kunst: Fotografie;kunst: fotografie;art: fotografia;τέχνη : φωτογραφία;arto: foto;téchni̱ : fo̱tografía;;8;
mot31;31;https://thesaurus.ficedl.info/?mot31;https://thesaurus.ficedl.info/spip.php?mot31;liste commune;sujets;2;mot17;generalites_confirme_source;art : sculpture;art : sculpture;art: sculpture;arte: escultura;arte: scultura;arte: escultura;Kunst: Skulptur;kunst: beeldhouwkunst;art: escultura;τέχνη : γλυπτική;arto: skulptaĵo;téchni̱ : glyptikí̱;;8;
mot32;32;https://thesaurus.ficedl.info/?mot32;https://thesaurus.ficedl.info/spip.php?mot32;liste commune;sujets;2;mot17;generalites_confirme_source;art : vidéo;art : vidéo;art : video;arte: vídeos;arte: video;art: vídeo;Kunst: Video;kunst: video;vídeo;τέχνη : βίντεο;arto: video;téchni̱ : vínteo;;6;
mot34;34;https://thesaurus.ficedl.info/?mot34;https://thesaurus.ficedl.info/spip.php?mot34;liste commune;sujets;2;mot17;generalites_confirme_source;art : théâtre;art : théâtre;art: theater;arte: teatro;arte: teatro;arte: teatro;Kunst: Theater;kunst: theater;art: teatre;τέχνη : θέατρο;arto: teatro;téchni̱ : théatro;;8;
mot88;88;https://thesaurus.ficedl.info/?mot88;https://thesaurus.ficedl.info/spip.php?mot88;liste commune;sujets;1;;racine;économie (généralités);économie (généralités);economy (in general);economía (aspectos generales);economia;economia;Wirtschaft;economie;economia (general);οικονομία (γενικά);ekonomio (ĝenerale);oikonomía (geniká);;8;
mot90;90;https://thesaurus.ficedl.info/?mot90;https://thesaurus.ficedl.info/spip.php?mot90;liste commune;sujets;2;mot88;generalites_confirme_source;économie : banque;économie : banque;economy: banking;economía: banco;economia: banca;economia: banco;Wirtschaft: Bank;economie: banken en geldwezen;economia: bancs;οικονομία : τράπεζα;ekonomio: banko;oikonomías : trápeza;;6;
mot91;91;https://thesaurus.ficedl.info/?mot91;https://thesaurus.ficedl.info/spip.php?mot91;liste commune;sujets;2;mot88;generalites_confirme_source;économie : chômage;économie : chômage;economy: unumployment;economía: desempleo;economia: disoccupazione;economia: desemprego;Wirtschaft: Arbeitslosigkeit;economie: werkloosheid;economia: atur;οικονομία : ανεργία;ekonomio: senlaboreco;oikonomías : anergía;;8;
mot93;93;https://thesaurus.ficedl.info/?mot93;https://thesaurus.ficedl.info/spip.php?mot93;liste commune;sujets;2;mot88;generalites_confirme_source;économie : démographie;économie : démographie;economy: demography;economía: demografía;economia: demografia;economia: demografia;Wirtschaft: Demografie;economie: demografie;economia: demografia;οικονομία : δημογραφία;ekonomio: demografio;oikonomías : di̱mografía;oui;4;
