id;nom;decision;lccn;vedette_lc;preuve;naissance_lc;mort_lc;lieu_naissance_lc;langues_lc;ecrit_le_26_09;candidats_et_motifs
10045;Maria Luiza Tucci Carneiro;contradiction;;;;;;;;;Carneiro, Maria Luiza Tucci [naissance 1949 ≠ 1960]
10046;Jacinto Cimazo;accepte;n82054615;Cimazo, Jacinto;titre « la revolucion libertaria espanola 1936 39 »;;;;;lccn;Cimazo, Jacinto
10050;Carlos da Fonseca;introuvable;;;;;;;;;
10051;Sílvio Gallo;accepte;no2002088065;Gallo, Sílvio;dates;1963;;Campinas (São Paulo, Brazil);Portuguese;lccn;Gallo, Sílvio
10054;Lily Litvak;non_corrobore;;;;;;;;;Litvak, Lily, 1938-
10059;Cristina Escrivá Moscardó;introuvable;;;;;;;;;
10060;Roberto das Neves;non_corrobore;;;;;;;;;Neves, Roberto das
10062;Fernando Quesada;contradiction;;;;;;;;;Quesada, Fernando, 1977- [naissance 1977 ≠ 1910] | Quesada, Fernando, 1969- [naissance 1969 ≠ 1910] | Quesada, Fernando, 1940- | Quesada, Fernando
10063;Jorge E. Silva;non_corrobore;;;;;;;;;Silva, Jorge E.
10064;Pedro Ferreira da Silva;non_corrobore;;;;;;;;;Silva, Pedro Ferreira da
10065;Ênio Silveira;introuvable;;;;;;;;;
10069;Tito Batini;non_corrobore;;;;;;;;;Batini, Tito
10071;Antônio José Botelho;non_corrobore;;;;;;;;;Botelho, Antônio José
10073;Júlio Carrapato;accepte;n84160867;Carrapato, Júlio;titre « uma campanha de salubridade »;;;;;lccn;Carrapato, Júlio
10074;Juan Gómez Casas;accepte;n79032127;Gómez Casas, Juan;titre « historia del anarcosindicalismo espanol »;1921;;;;lccn;Gómez Casas, Juan
10075;Maurice Cranston;non_corrobore;;;;;;;;;Cranston, Maurice, 1920-1993
10076;Jaime Cubero;non_corrobore;;;;;;;;;Cubero, Jaime, 1927-1998
10078;Daniel Aarão Reis Filho;accepte;n85240192;Reis Filho, Daniel Aarão;dates;1946;;Rio de Janeiro (Brazil);Portuguese;lccn;Reis Filho, Daniel Aarão
10079;Luis Di Filippo;non_corrobore;;;;;;;;;Di Filippo, Luis
10081;Víctor García;non_corrobore;;;;;;;;;García, Víctor (Illustrator)
10082;Willian Godwin;introuvable;;;;;;;;;
10083;Adelaide Gonçalves;non_corrobore;;;;;;;;;Gonçalves, Adelaide
10086;Augustin Hamon;introuvable;;;;;;;;;
10087;Francisco Foot Hardman;introuvable;;;;;;;;;
10089;Victor Hugo;introuvable;;;;;;;;;
10090;Tomás Ibáñez;accepte;n95080423;Ibáñez, Tomás;dates;1944;;Zaragoza (Spain);Spanish;lccn;Ibáñez, Tomás
10093;Sebastián Marotta;non_corrobore;;;;;;;;;Marotta, Sebastián
10094;Carlos Penelas;non_corrobore;;;;;;;;;Penelas, Carlos, 1946-
10095;Maria Oly Pey;non_corrobore;;;;;;;;;Pey, Maria Oly
10096;Paulo Sérgio Pinheiro;introuvable;;;;;;;;;
10098;Antonio Arnoni Prado;accepte;n79010068;Prado, Antonio Arnoni;dates;1943;;São Paulo (Brazil);;lccn;Prado, Antonio Arnoni
10099;Carlos Pronzato;non_corrobore;;;;;;;;;Pronzato, Carlos
10100;Margareth Rago;contradiction;;;;;;;;;Rago, Margareth [naissance 1948 ≠ 1955]
10102;Ramón Safón;non_corrobore;;;;;;;;;Safón, Ramón
10103;Emídio Santana;accepte;n78044094;Santana, Emídio;titre « historia de um atentado »;;;;;lccn;Santana, Emídio
10104;Fabio Santin;accepte;n80150658;Santin, Fabio;titre « la rivoluzione volontaria »;;;;;lccn;Santin, Fabio
10106;Alexandre Skirda;accepte;n81040719;Skirda, Alexandre;dates;1942;;;French;lccn+langue;Skirda, Alexandre
10107;Juan Suriano;non_corrobore;;;;;;;;;Suriano, Juan
10110;Fernando López Trujillo;accepte;n2006028137;López Trujillo, Fernando;titre « vidas en rojo y negro »;;;;;lccn;López Trujillo, Fernando, 1973- | López Trujillo, Fernando
10113;George Orwell;accepte;n79058639;Orwell, George, 1903-1950;titre « animal farm »;1903;1950;Bengal (India);English;lccn+langue;Orwell, George, 1903-1950
10116;Cornelius Castoriadis;non_corrobore;;;;;;;;;Castoriadis, Cornelius, 1922-1997
10120;Hugues Lenoir;non_corrobore;;;;;;;;;Lenoir, Hugues
10121;Carlos Baqueiro;introuvable;;;;;;;;;
10125;Pierre Clastres;accepte;n81019936;Clastres, Pierre, 1934-1977;dates;1934;1977;Paris (France);French;lccn+langue;Clastres, Pierre, 1934-1977
10130;Stanley Milgram;accepte;n50082722;Milgram, Stanley;dates;1933;1984;;;lccn;Milgram, Stanley
10134;Dario Fo;accepte;n78093367;Fo, Dario;dates;1926;2016;Sangiano (Italy);Italian;lccn+langue;Fo, Dario
10140;Benedict Anderson;non_corrobore;;;;;;;;;Anderson, Benedict
10141;Antony Beevor;accepte;n83019940;Beevor, Antony, 1946-;dates;1946;;Kensington (London, England);English;lccn+langue;Beevor, Antony, 1946-
10142;Hugh Thomas;accepte;n50010176;Thomas, Hugh, 1931-2017;dates;1931;2017;Windsor (Windsor and Maidenhead, England);English;lccn+langue;Thomas, Hugh, 1931-2017 | Thomas, Hugh, 1706 or 1707-1780 [mort 1780 ≠ 2017]
10143;Raymond Carr;accepte;n79058937;Carr, Raymond;dates;1919;2015;Bath (England);English,Spanish;lccn;Carr, Raymond | Carr, Raymond, 1961-
10145;Pierre Broué;non_corrobore;;;;;;;;;Broué, Pierre
10147;Piotr Archinov;contradiction;;;;;;;;;Archinov, Piotr, 1887-1940 [mort 1940 ≠ 1938]
10148;Vernon Richards;non_corrobore;;;;;;;;;Richards, Vernon
10149;Andrés Nin;accepte;n79056715;Nin, Andrés, 1892-1937;dates;1892;1937;Vendrell (Spain);Spanish;lccn+langue;Nin, Andrés, 1892-1937
10151;René Viénet;non_corrobore;;;;;;;;;Viénet, René, 1944-
10152;Pietro Ferrua;accepte;n92109049;Ferrua, Pietro, 1930-;dates;1930;;;;lccn;Ferrua, Pietro, 1930-
10153;Josefa Martín Luengo;accepte;n78054680;Martiń Luengo, Josefa, 1944-2009;dates;1944;2009;Salamanca (Spain);Spanish;lccn+langue;Martiń Luengo, Josefa, 1944-2009
10154;Manuel Joaquim de Sousa;non_corrobore;;;;;;;;;Sousa, Manuel Joaquim de, 1883-1944?
10155;Bio Panclasta;introuvable;;;;;;;;;
10156;Stewart Home;accepte;nr88012083;Home, Stewart, 1962-;dates;1962;;London (England);English;lccn+langue;Home, Stewart, 1962-
10159;Everett Reimer;introuvable;;;;;;;;;
10162;Edgard Carone;accepte;n50032481;Carone, Edgard;dates;1923;2003;;;lccn;Carone, Edgard
10164;Florentino de Carvalho;non_corrobore;;;;;;;;;Carvalho, Florentino de, 1883-1947
10165;Fábio Luz;non_corrobore;;;;;;;;;Luz, Fábio, 1864-1938
10166;Martha Ackelsberg;introuvable;;;;;;;;;
10167;Lucien Van Der Walt;accepte;no2005116458;Van der Walt, Lucien;dates;1972;;Krugersdorp (South Africa);;lccn;Van der Walt, Lucien
10168;Jean Bancal;introuvable;;;;;;;;;
10169;Christian Ferrer;non_corrobore;;;;;;;;;Ferrer, Christian
10170;Edgar Wind;accepte;n50015796;Wind, Edgar, 1900-1971;dates;1900;1971;Berlin (Germany);;lccn;Wind, Edgar, 1900-1971
10171;Claudio Lavazza;introuvable;;;;;;;;;
10173;Nildo Avelino;accepte;nr2005023050;Avelino, Nildo;titre « anarquistas »;;;;;lccn;Avelino, Nildo
10174;Joseph Staline;introuvable;;;;;;;;;
10175;CrimethInc.;nom_trop_court;;;;;;;;;
10176;Gabriel Jackson;contradiction;;;;;;;;;Jackson, Gabriel, 1765-1850 | Jackson, Gabriel, 1962- [naissance 1962 ≠ 1921] | Jackson, Gabriel [mort 2019 ≠ 2005]
10177;Fernando C. Prestes Motta;introuvable;;;;;;;;;
10179;María Galindo;introuvable;;;;;;;;;
10181;Grégory Chambat;non_corrobore;;;;;;;;;Chambat, Grégory
10182;Sheldon Leslie Maram;introuvable;;;;;;;;;
10183;Antonina Rodrigo;accepte;n79085033;Rodrigo, Antonina;dates;1935;;;;lccn;Rodrigo, Antonina
10188;Wilhelm Reich;accepte;n79039823;Reich, Wilhelm, 1897-1957;dates;1897;1957;Austria;English;lccn;Reich, Wilhelm, 1852-1929 | Reich, Wilhelm, 1897-1957 | Reich, Wilhelm
10196;Giovanni Rossi;introuvable;;;;;;;;;
10200;Janusz Korczak;accepte;n79100733;Korczak, Janusz, 1878-1942;dates;1878;1942;;Polish;lccn+langue;Korczak, Janusz, 1878-1942
10204;Jorge Amado;accepte;n50024126;Amado, Jorge, 1912-2001;dates;1912;2001;Itabuna (Brazil);Portuguese;lccn+langue;Amado, Jorge, 1912-2001
10206;Paul Singer;accepte;n50023582;Singer, Paul, 1932-2018;titre « aprender economia »;1932;2018;Vienna (Austria);;lccn;Singer, Paul, 1932-2018 | Singer, Paul (Paul R.) | Singer, Paul, 1844-1911 | Singer, Paul, 1904- | Singer, Paul, 1946- [naissance 1946 ≠ 1932]
10210;João Bernardo;introuvable;;;;;;;;;
10211;André Reszler;non_corrobore;;;;;;;;;Reszler, André
10212;Isidro Guardia Abella;non_corrobore;;;;;;;;;Guardia Abella, Isidro, 1921-
10213;Carlos Abreu;non_corrobore;;;;;;;;;Abreu, Carlos
10214;Julio C. Acerete;non_corrobore;;;;;;;;;Acerete, Julio C.
10215;Carlos Augusto Addor;accepte;n88016343;Addor, Carlos Augusto;titre « a insurreicao anarquista no rio de janeiro »;;;;;lccn;Addor, Carlos Augusto
10216;S. Agourski;introuvable;;;;;;;;;
10217;Moysés Aguiar;non_corrobore;;;;;;;;;Aguiar, Moysés
10218;Roberto A. R. De Aguiar;non_corrobore;;;;;;;;;Aguiar, Roberto A. R. de
10219;Ronaldo Conde Aguiar;accepte;n87920186;Aguiar, Ronaldo Conde, 1942-;titre « o rebelde esquecido »;;;;;lccn;Aguiar, Ronaldo Conde, 1942-
10220;Anoar Aiex;accepte;n90698216;Aiex, Anoar, 1942-;titre « as ideias socio literarias de lima barreto »;;;;;lccn;Aiex, Anoar, 1942-
10222;Anna Gicelle Garcia Alaniz;introuvable;;;;;;;;;
10223;Martín Albornoz;accepte;no2010201643;Albornoz, Martín, 1978-;dates;1978;;Madrid;Spanish;lccn;Albornoz, Martín, 1978-
10224;John Alcorn;non_corrobore;;;;;;;;;Alcorn, John (John E.) | Alcorn, John, 1923- | Alcorn, John | Alcorn, John (Vocalist)
10226;Juan Maestre Alfonso;introuvable;;;;;;;;;
10227;Oscar Algarve;non_corrobore;;;;;;;;;Algarve, Oscar
10228;Demerval Saviani et Alli;introuvable;;;;;;;;;
10230;Ramón Alvarez;non_corrobore;;;;;;;;;Álvarez, Ramón, 1913-2003
10231;Paulo Alves;introuvable;;;;;;;;;
10232;Valter Roberto Alves;introuvable;;;;;;;;;
10233;Luis Amado;introuvable;;;;;;;;;
10235;Miguel Amorós;non_corrobore;;;;;;;;;Amorós, Miguel, 1949- | Amorós, Miguel
10236;Rivista Anarchica;introuvable;;;;;;;;;
10238;Taller Anarquista;introuvable;;;;;;;;;
10239;Martins de Andrade;introuvable;;;;;;;;;
10240;Pedro de Andrade;introuvable;;;;;;;;;
10241;Silvia Maria Belfort Vilela de Andrade;accepte;n88073071;Andrade, Silvia Maria Belfort Vilela de;titre « classe operaria em juiz de fora »;;;;;lccn;Andrade, Silvia Maria Belfort Vilela de
10242;Augusto Chacho Andrés;introuvable;;;;;;;;;
10243;Satana Angelo;introuvable;;;;;;;;;
10245;Allan Antiff;introuvable;;;;;;;;;
10247;Caderno de Apontamentos;introuvable;;;;;;;;;
10248;Cassio M. L. de Aquino;introuvable;;;;;;;;;
10249;Cássio Macedo Lopes de Aquino;introuvable;;;;;;;;;
10250;Angela M. C. Araujo;accepte;nr97037426;Araújo, Angela M. C.;titre « trabalho cultura e cidadania »;;;;Portuguese;lccn+langue;Araújo, Angela M. C.
10251;Alejandro Arellano Y Buenrostro;introuvable;;;;;;;;;
10252;Alejandro Buenrostro y Arellano;introuvable;;;;;;;;;
10253;Dom Paulo Evaristo Arns;introuvable;;;;;;;;;
10254;Carlos Arruda;non_corrobore;;;;;;;;;Arruda, Carlos, 1918-2000
10255;João Arruda;accepte;n88168732;Arruda, João;dates;1861;1943;;;lccn;Arruda, João | Arruda, João, 1948-
10256;Rinaldo Sérgio Vieira Arruda;accepte;n84022690;Arruda, Rinaldo Sérgio Vieira;titre « pequenos bandidos »;;;;Portuguese;lccn+langue;Arruda, Rinaldo Sérgio Vieira
10258;Nelson Ascher;non_corrobore;;;;;;;;;Ascher, Nelson
10259;Thimothy Garton Ash;introuvable;;;;;;;;;
10260;Svetlana Askoldova;introuvable;;;;;;;;;
10261;Danilo Augusto;introuvable;;;;;;;;;
10263;Luis Carlos Avila;introuvable;;;;;;;;;
10267;Raquel De Azevedo;non_corrobore;;;;;;;;;Azevedo, Raquel de
10268;Flávio Bá;introuvable;;;;;;;;;
10269;Patrick Bade;non_corrobore;;;;;;;;;Bade, Patrick
10270;Luciana Badin;non_corrobore;;;;;;;;;Badin, Luciana
10271;Antônio Ladislau Monteiro Baena;introuvable;;;;;;;;;
10272;Osvaldo Baigorria;accepte;n89673092;Baigorria, Osvaldo;dates;1948;;Buenos Aires, Argentina;;lccn;Baigorria, Osvaldo
10273;Normand Baillargeon;accepte;n96113789;Baillargeon, Normand, 1958-;dates;1958;;;;lccn;Baillargeon, Normand, 1958-
10274;Quentin Bajac;non_corrobore;;;;;;;;;Bajac, Quentin
10275;Catherine Baker;contradiction;;;;;;;;;Baker, Catherine, 1947- [naissance 1947 ≠ 1949] | Baker, Catherine, 1956- | Baker, Catherine, 1944- | Baker, Catherine, 1965- [naissance 1965 ≠ 1949] | Baker, Catherine, 1969-
10277;Giovanni Baldelli;non_corrobore;;;;;;;;;Baldelli, Giovanni
10278;Gr Balkanski;non_corrobore;;;;;;;;;Balkanski, Gr.
10279;Luigi Balsamini;non_corrobore;;;;;;;;;Balsamini, Luigi, 1977-
10281;Noniz Bandeira;introuvable;;;;;;;;;
10282;Antonio Bar;non_corrobore;;;;;;;;;Bar, Antonio
10283;Carlos Barbáchano;introuvable;;;;;;;;;
10286;Antonio Garcia Barón;introuvable;;;;;;;;;
10289;Nelson Ramos Barretto;accepte;nr97004023;Barretto, Nelson Ramos;titre « reforma agraria »;;;;Portuguese;lccn+langue;Barretto, Nelson Ramos
10290;Haroldo Barros;introuvable;;;;;;;;;
10291;Luitgarde Oliveira Cavalcanti Barros;non_corrobore;;;;;;;;;Barros, Luitgarde Oliveira Cavalcanti, 1941-
10292;Melka Barros;introuvable;;;;;;;;;
10294;Max Barry;accepte;n98104175;Barry, Max, 1973-;dates;1973;;;;lccn;Barry, Max, 1973-
10295;Robert F. Barsky;contradiction;;;;;;;;;Barsky, Robert F. [naissance 1961 ≠ 1949]
10296;Jacques Barzun;accepte;n79135237;Barzun, Jacques, 1907-2012;dates;1907;2012;Créteil (France);English;lccn;Barzun, Jacques, 1907-2012
10298;Jean-Pierre Bastian;accepte;n85027545;Bastian, Jean-Pierre, 1947-;dates;1947;;;Spanish,French;lccn;Bastian, Jean-Pierre, 1947-
10299;Jorge Basurto;non_corrobore;;;;;;;;;Basurto, Jorge
10300;Claudio H. M. Batalha;accepte;no00078389;Batalha, Claudio H. M. (Henrique de Moraes), 1957-;titre « o movimento operario na primeira republica »;;;;;lccn;Batalha, Claudio H. M. (Henrique de Moraes), 1957-
10302;Paulo Cesar Batista;introuvable;;;;;;;;;
10304;Agustín Souchy Bauer;introuvable;;;;;;;;;
10306;Carlos Bauer;accepte;no96036106;Bauer, Carlos, 1960-;titre « contribuicao para a historia dos trabalhadores brasileiros »;1960;;São Paulo (Brazil);Portuguese;lccn+naissance+pays+langue;Bauer, Carlos | Bauer, Carlos, 1960-
10307;Ruth M. Beard;introuvable;;;;;;;;;
10308;Paula Beiguelman;non_corrobore;;;;;;;;;Beiguelman, Paula
10309;Kazimierz Bein;introuvable;;;;;;;;;
10310;Raúl Ruano Bellido;introuvable;;;;;;;;;
10311;Ierecê Rego Beltrão;introuvable;;;;;;;;;
10312;Jane Felipe Beltrão;non_corrobore;;;;;;;;;Beltrão, Jane Felipe
10313;Robert Benedetti;non_corrobore;;;;;;;;;Benedetti, Robert
10314;Mouzar Benedito;non_corrobore;;;;;;;;;Benedito, Mouzar, 1946-
10315;César Benjamin;introuvable;;;;;;;;;
10316;Eugenio Bentaberry;introuvable;;;;;;;;;
10317;Jeremy Benthan;introuvable;;;;;;;;;
10318;Javier Benyo;accepte;no2007007694;Benyo, Javier;titre « la alianza obrera spartacus »;;;;;lccn;Benyo, Javier
10319;Paul Berman;non_corrobore;;;;;;;;;Berman, Paul, 1949- | Berman, Paul, 1937- | Berman, Paul
10320;Raúl Ornelas Bernal;introuvable;;;;;;;;;
10321;Jean-Claude Bernardet;contradiction;;;;;;;;;Bernardet, Jean Claude [mort 2025 ≠ 2012]
10322;Célia de Bernardi;accepte;no2001093644;Bernardi, Célia de;titre « o lendario meneghetti »;;;;;lccn;Bernardi, Célia de
10323;Ladisael Bernardo;introuvable;;;;;;;;;
10324;Walther L. Bernecker;non_corrobore;;;;;;;;;Bernecker, Walther L., 1947-
10327;David Berry;contradiction;;;;;;;;;Berry, David (David Edward), 1945- [naissance 1945 ≠ 1965] | Berry, David (David M.), 1984- [naissance 1984 ≠ 1965]
10328;Juan Luis Berterretche;accepte;n88113267;Berterretche, Juan Luis, 1941-;titre « el comisario va en coche al muere »;;;;;lccn;Berterretche, Juan Luis, 1941-
10329;Paul Berthelot;non_corrobore;;;;;;;;;Berthelot, Paul, 1883-1911
10330;Claude Bertin;introuvable;;;;;;;;;
10331;Franco Bertolucci;non_corrobore;;;;;;;;;Bertolucci, Franco
10332;João Fábio Bertonha;accepte;n00900015;Bertonha, João Fábio;titre « sob a sombra de mussolini »;1968;;Itatiba (São Paulo, Brazil);Portuguese;lccn;Bertonha, João Fábio
10333;Frei Betto;accepte;n50052786;Betto, Frei, 1944-;dates;1944;;Belo Horizonte (Brazil);Portuguese;lccn;Betto, Frei, 1944-
10335;Janet Biehl;non_corrobore;;;;;;;;;Biehl, Janet, 1953-
10336;Isabel Bilhão;accepte;n00900876;Bilhão, Isabel;titre « rivalidades e solidariedades no movimento operario »;;;;;lccn;Bilhão, Isabel
10337;Edgardo J. Bilsky;non_corrobore;;;;;;;;;Bilsky, Edgardo J.
10338;Jeanne Bisilliat-Gardet;introuvable;;;;;;;;;
10340;Bob Black;accepte;no2008189595;Black, Bob, 1951-;titre « anarchy after leftism »;;;;;lccn;Black, Bob, 1949- [naissance 1949 ≠ 1951] | Black Bob (Pianist) | Black, Bob, 1951- | Black, Bob, 1939- [naissance 1939 ≠ 1951] | Black, Bob (Author of Torra peatlands teachers' pack)
10341;Luther Blissett;non_corrobore;;;;;;;;;Blissett, Luther
10342;Gérard Bloch;non_corrobore;;;;;;;;;Bloch, Gerard, 1951-
10345;Miguel Bodela;introuvable;;;;;;;;;
10346;Larissa Mies Bombardi;accepte;no2005033505;Bombardi, Larissa Mies;titre « agrotoxicos e colonialismo quimico »;;;;Portuguese;lccn+langue;Bombardi, Larissa Mies
10349;Alfredo María Bonanno;accepte;n79054109;Bonanno, Alfredo Maria, 1937-;dates;1937;;;;lccn;Bonanno, Alfredo Maria, 1937-
10350;Stefano Boni;accepte;no2014100307;Boni, Stefano, 1970-;dates;1970;;Rome (Italy);Italian;lccn+langue;Boni, Stefano, 1970- | Boni, Stefano
10351;Angel Borda;accepte;nr90009209;Borda, Angel, 1901-1980;titre « perfil de un libertario »;;;;;lccn;Borda, Angel, 1901-1980
10352;Francesc Foguet I. Boreu;introuvable;;;;;;;;;
10356;J. Carlos Boscolo;introuvable;;;;;;;;;
10358;John Brademas;accepte;n85269616;Brademas, John, 1927-2016;dates;1927;2016;Mishawaka (Ind.);English;lccn+langue;Brademas, John, 1927-2016
10360;Henry N. Brailsford;introuvable;;;;;;;;;
10363;L. I. Brezhnev;introuvable;;;;;;;;;
10365;José Brissa;non_corrobore;;;;;;;;;Brissa, José, 1870-
10366;José Carlos Aguiar Brito;accepte;n83122230;Brito, José Carlos Aguiar;titre « a tomada da ford »;;;;;lccn;Brito, José Carlos Aguiar
10368;Alain Brossat;accepte;n81094093;Brossat, Alain;dates;1946;;;;lccn;Brossat, Alain
10370;Lúcia Bruno;introuvable;;;;;;;;;
10371;Fritz Brupbacher;accepte;n80146022;Brupbacher, Fritz;dates;1874;1945;Zürich, Switzerland;German;lccn+langue;Brupbacher, Fritz
10372;Wilson R. Bueno;accepte;no2005085379;Bueno, Wilson R.;titre « morro do quiabo »;;;;;lccn;Bueno, Wilson R.
10373;Waldirio Bulgarelli;non_corrobore;;;;;;;;;Bulgarelli, Waldírio
10374;Judith Butler;accepte;n99035460;Butler, Judith, 1956-;dates;1956;;;English;lccn+langue;Butler, Judith, 1956-
10375;Marco Aurélio Buzetto;introuvable;;;;;;;;;
10376;Mário H. F. Buzzulini;introuvable;;;;;;;;;
10377;Victor M. Muñoz C.;introuvable;;;;;;;;;
10378;Evaldo Cabral De Mello;introuvable;;;;;;;;;
10379;Max Cafard;non_corrobore;;;;;;;;;Cafard, Max
10382;Roseli Salete Caldart;non_corrobore;;;;;;;;;Caldart, Roseli Salete, 1961-
10383;Clovis Caldeira;introuvable;;;;;;;;;
10384;Agustín García Calvo;accepte;n50016363;García Calvo, Agustín;dates;1926;2012;Zamora (Spain);Spanish;lccn+langue;García Calvo, Agustín
10385;Enrique Gil Calvo;introuvable;;;;;;;;;
10387;Javier Campo;introuvable;;;;;;;;;
10388;Cristina de Campos;accepte;no2003002144;Campos, Cristina de;titre « sao paulo pela lente da higiene »;;;;;lccn;Campos, Cristina de
10389;Cristina Hebling Campos;accepte;n88286652;Campos, Cristina Hebling;titre « o sonhar libertario »;;;;;lccn;Campos, Cristina Hebling
10390;Reynaldo Pompeu de Campos;accepte;n82115915;Campos, Reynaldo Pompeu de;titre « repressao judicial no estado novo »;;;;;lccn;Campos, Reynaldo Pompeu de
10391;Elizabeth Cancelli;accepte;n89183290;Cancelli, Elizabeth;titre « o mundo da violencia »;1956;;;Portuguese;lccn+naissance+langue;Cancelli, Elizabeth
10392;Néstor García Canclini;accepte;n81135080;García Canclini, Néstor;dates;1939;;Argentina;Spanish;lccn+langue;García Canclini, Néstor
10393;René Cannac;non_corrobore;;;;;;;;;Cannac, René
10394;Martín Caparrós;accepte;n87901526;Caparrós, Martín, 1957-;dates;1957;;Buenos Aires (Argentina);Spanish;lccn;Caparrós, Martín, 1957-
10395;Jose Capela;accepte;n85092906;Capela, José;dates;1932;;;Portuguese;lccn;Capela, José
10396;William Andrés Mesa Cárdenas;introuvable;;;;;;;;;
10397;Carlos A. Gomes Cardim;accepte;no2009043998;Cardim, Carlos A. Gomes;titre « tradicoes nacionaes »;;;;;lccn;Cardim, Carlos A. Gomes
10398;Alvaro Cardoso;accepte;n81151281;Cardoso, Alvaro;titre « puro prazer anarquia »;;;;;lccn;Cardoso, Álvaro, active 1908 | Cardoso, Alvaro
10399;Ana Claudia Moreira Cardoso;accepte;no2010036998;Cardoso, Ana Claudia Moreira;titre « tempos de trabalho tempos de nao trabalho »;;;;;lccn;Cardoso, Ana Claudia Moreira
10401;Beatriz Scigliano Carneiro;accepte;no2005121183;Carneiro, Beatriz Scigliano;titre « relampagos com claror »;;;;Portuguese;lccn+langue;Carneiro, Beatriz Scigliano
